,0
577,7
1405,7
1114,4
1656,5
1076,1
1644,3
1365,0
1222,6
767,4
912,7
1142,2
1026,8
14,4
1778,4
829,8
1505,1
155,5
73,9
1573,0
77,2
158,8
174,7
1141,8
831,0
643,8
1610,6
1125,3
1036,7
260,4
809,5
1462,1
1739,0
1033,4
1020,9
1330,7
134,4
557,4
1481,6
1545,0
70,1
628,7
170,8
1220,3
1037,8
1007,6
644,9
388,2
787,1
849,9
973,5
1449,6
1538,8
1054,5
1482,6
1177,0
1500,1
725,0
579,3
17,7
929,4
1310,3
1455,8
1692,5
373,5
961,3
1413,0
693,1
867,3
1389,5
1647,6
1121,7
63,3
109,5
1144,5
128,9
522,6
1703,0
1624,3
1502,4
140,0
1678,1
1019,7
506,5
873,4
1461,5
324,4
299,7
1022,4
323,6
1604,7
1434,9
485,1
365,5
177,1
1347,3
937,5
1039,0
1412,9
730,2
1195,8
1470,0
1414,8
694,0
588,0
925,0
458,0
1613,1
906,1
1666,8
315,3
384,9
946,4
1712,3
258,2
759,2
1351,4
1041,2
1265,7
171,4
279,3
1178,1
815,9
1633,9
717,5
1612,9
618,5
1349,3
876,4
329,9
779,3
1107,1
1643,5
47,1
960,6
210,1
1728,7
1101,5
576,3
291,5
816,8
213,3
407,1
641,9
948,7
613,4
459,9
46,5
1049,0
612,8
1602,3
482,8
913,8
295,9
317,7
234,6
398,2
1226,9
604,6
1436,1
463,2
1055,6
531,5
136,6
888,7
1288,1
589,9
1344,2
1056,7
545,9
737,3
320,4
739,1
19,9
744,3
890,8
578,3
622,6
1594,2
1285,9
1202,3
457,5
1314,7
1111,2
76,8
111,4
544,8
1217,3
1622,7
1358,5
1364,2
931,6
514,9
1383,8
934,9
1369,6
910,5
1667,0
392,6
908,3
430,7
26,6
223,6
526,0
380,4
35,5
797,1
1742,2
1738,5
103,3
1002,0
382,0
840,4
215,1
394,8
1448,5
1028,8
1498,3
543,7
59,3
853,2
349,1
1619,8
1675,8
796,0
1488,9
1721,2
709,3
1099,0
8,8
600,2
256,0
1247,1
1316,9
891,2
855,0
378,8
741,6
1103,8
1270,2
1306,9
635,9
1299,2
503,5
966,4
121,4
850,5
124,4
129,8
977,2
922,7
1489,5
916,1
348,9
401,5
1241,2
227,1
818,1
1203,5
276,0
1374,4
45,3
477,3
862,7
1009,7
1649,7
1136,5
491,9
1248,3
1075,5
661,5
304,0
1340,8
1421,6
846,1
1750,3
330,5
775,8
1077,0
492,6
461,2
895,9
343,4
1067,8
1433,8
592,8
1165,8
1480,6
445,3
689,7
1218,7
732,7
755,5
701,0
1143,2
1578,5
399,3
1083,1
1737,1
358,5
393,7
1291,4
836,3
188,6
1518,3
533,7
1794,8
817,4
385,3
1776,5
1045,6
18,8
968,6
1629,6
615,1
1646,9
821,3
1380,1
499,2
758,7
1082,0
264,8
671,5
1606,3
1161,4
1102,2
1701,6
1566,3
465,0
951,5
1301,4
1167,0
1104,2
1615,0
590,5
719,9
983,7
249,8
1246,3
825,0
1563,0
1134,1
168,8
1476,7
1156,8
1062,5
